dim_hour,trip_count,dim_year,dim_month
16,8995,2020,12
17,8785,2020,12
18,6913,2020,12
19,5716,2020,12
20,4209,2020,12
21,2980,2020,12
22,2205,2020,12
23,1551,2020,12
0,798,2021,1
1,442,2021,1
2,257,2021,1
3,168,2021,1
4,225,2021,1
5,353,2021,1
6,1269,2021,1
7,2905,2021,1
8,4211,2021,1
9,3528,2021,1
10,3593,2021,1
11,4392,2021,1
12,6044,2021,1
13,6625,2021,1
14,6825,2021,1
15,7494,2021,1
16,8056,2021,1
17,8024,2021,1
18,6535,2021,1
19,4880,2021,1
20,3597,2021,1
21,2648,2021,1
22,1729,2021,1
23,1232,2021,1
0,453,2021,2
1,211,2021,2
2,146,2021,2
3,90,2021,2
4,99,2021,2
5,236,2021,2
6,787,2021,2
7,1895,2021,2
8,2573,2021,2
9,2258,2021,2
10,2277,2021,2
11,2891,2021,2
12,3989,2021,2
13,4118,2021,2
14,4522,2021,2
15,5147,2021,2
16,5804,2021,2
17,6240,2021,2
18,5001,2021,2
19,3708,2021,2
20,2510,2021,2
21,1818,2021,2
22,1168,2021,2
23,842,2021,2
0,1077,2021,3
1,613,2021,3
2,342,2021,3
3,230,2021,3
4,235,2021,3
5,464,2021,3
6,1755,2021,3
7,4298,2021,3
8,6421,2021,3
9,5240,2021,3
10,5501,2021,3
11,6949,2021,3
12,9935,2021,3
13,10853,2021,3
14,11931,2021,3
15,13314,2021,3
16,16025,2021,3
17,18518,2021,3
18,16026,2021,3
19,11217,2021,3
20,6909,2021,3
21,4532,2021,3
22,2834,2021,3
23,1919,2021,3
0,1761,2021,4
1,1083,2021,4
2,692,2021,4
3,343,2021,4
4,378,2021,4
5,705,2021,4
6,2308,2021,4
7,4821,2021,4
8,6914,2021,4
9,6773,2021,4
10,7432,2021,4
11,10013,2021,4
12,13564,2021,4
13,16139,2021,4
14,18193,2021,4
15,19969,2021,4
16,22013,2021,4
17,24703,2021,4
18,22813,2021,4
19,17908,2021,4
20,11267,2021,4
21,6696,2021,4
22,4505,2021,4
23,3028,2021,4
0,4414,2021,5
1,2531,2021,5
2,1437,2021,5
3,817,2021,5
4,515,2021,5
5,1150,2021,5
6,3722,2021,5
7,8103,2021,5
8,11153,2021,5
9,11408,2021,5
10,14135,2021,5
11,18634,2021,5
12,24583,2021,5
13,28239,2021,5
14,31358,2021,5
15,33258,2021,5
16,36408,2021,5
17,42762,2021,5
18,44642,2021,5
19,39141,2021,5
20,29033,2021,5
21,17679,2021,5
22,11033,2021,5
23,7356,2021,5
0,6935,2021,6
1,4152,2021,6
2,2394,2021,6
3,1307,2021,6
4,915,2021,6
5,1540,2021,6
6,5091,2021,6
7,10381,2021,6
8,14028,2021,6
9,13420,2021,6
10,15511,2021,6
11,18716,2021,6
12,23371,2021,6
13,25197,2021,6
14,27137,2021,6
15,29506,2021,6
16,33810,2021,6
17,42087,2021,6
18,44878,2021,6
19,42134,2021,6
20,36131,2021,6
21,25649,2021,6
22,16349,2021,6
23,11387,2021,6
0,8389,2021,7
1,5627,2021,7
2,3939,2021,7
3,2229,2021,7
4,1347,2021,7
5,1959,2021,7
6,6185,2021,7
7,11673,2021,7
8,16044,2021,7
9,14225,2021,7
10,16225,2021,7
11,20028,2021,7
12,24007,2021,7
13,25691,2021,7
14,27843,2021,7
15,29899,2021,7
16,33054,2021,7
17,42439,2021,7
18,43576,2021,7
19,40352,2021,7
20,33724,2021,7
21,24541,2021,7
22,17332,2021,7
23,12602,2021,7
0,9546,2021,8
1,6257,2021,8
2,4606,2021,8
3,2523,2021,8
4,1603,2021,8
5,2139,2021,8
6,6459,2021,8
7,12288,2021,8
8,18283,2021,8
9,17049,2021,8
10,18117,2021,8
11,22173,2021,8
12,27074,2021,8
13,28441,2021,8
14,30006,2021,8
15,32498,2021,8
16,37541,2021,8
17,45463,2021,8
18,46191,2021,8
19,41355,2021,8
20,32597,2021,8
21,22883,2021,8
22,17519,2021,8
23,13642,2021,8
0,6019,2021,9
1,4003,2021,9
2,2880,2021,9
3,1670,2021,9
4,1076,2021,9
5,2042,2021,9
6,5602,2021,9
7,12278,2021,9
8,19327,2021,9
9,17715,2021,9
10,17875,2021,9
11,22216,2021,9
12,27136,2021,9
13,28011,2021,9
14,29903,2021,9
15,32528,2021,9
16,36640,2021,9
17,45132,2021,9
18,44068,2021,9
19,34524,2021,9
20,23657,2021,9
21,16907,2021,9
22,13254,2021,9
23,9683,2021,9
0,5502,2021,10
1,3711,2021,10
2,2780,2021,10
3,1674,2021,10
4,991,2021,10
5,1694,2021,10
6,4981,2021,10
7,10518,2021,10
8,17532,2021,10
9,15718,2021,10
10,15036,2021,10
11,18773,2021,10
12,22059,2021,10
13,22316,2021,10
14,23850,2021,10
15,26248,2021,10
16,30462,2021,10
17,36764,2021,10
18,33458,2021,10
19,23873,2021,10
20,16697,2021,10
21,13409,2021,10
22,10769,2021,10
23,7789,2021,10
0,3091,2021,11
1,2245,2021,11
2,1542,2021,11
3,875,2021,11
4,682,2021,11
5,1229,2021,11
6,4374,2021,11
7,9042,2021,11
8,15479,2021,11
9,12297,2021,11
10,10716,2021,11
11,12780,2021,11
12,15089,2021,11
13,14802,2021,11
14,15218,2021,11
15,16808,2021,11
16,19748,2021,11
17,23253,2021,11
18,19548,2021,11
19,14388,2021,11
20,10273,2021,11
21,8047,2021,11
22,6476,2021,11
23,4639,2021,11
0,1877,2021,12
1,1194,2021,12
2,844,2021,12
3,492,2021,12
4,482,2021,12
5,827,2021,12
6,2541,2021,12
7,4690,2021,12
8,7967,2021,12
9,6851,2021,12
10,6462,2021,12
11,7704,2021,12
12,9322,2021,12
13,9612,2021,12
14,9966,2021,12
15,11257,2021,12
16,12255,2021,12
17,13348,2021,12
18,11355,2021,12
19,8661,2021,12
20,6230,2021,12
21,4886,2021,12
22,3798,2021,12
23,3039,2021,12
0,595,2022,1
1,360,2022,1
2,273,2022,1
3,148,2022,1
4,214,2022,1
5,408,2022,1
6,1028,2022,1
7,1850,2022,1
8,2697,2022,1
9,2319,2022,1
10,2406,2022,1
11,2910,2022,1
12,3732,2022,1
13,3997,2022,1
14,4284,2022,1
15,4625,2022,1
16,5303,2022,1
17,5369,2022,1
18,4578,2022,1
19,3446,2022,1
20,2428,2022,1
21,1640,2022,1
22,1131,2022,1
23,812,2022,1
0,749,2022,2
1,471,2022,2
2,345,2022,2
3,185,2022,2
4,209,2022,2
5,404,2022,2
6,1323,2022,2
7,2387,2022,2
8,3809,2022,2
9,3268,2022,2
10,2833,2022,2
11,3286,2022,2
12,4025,2022,2
13,4196,2022,2
14,4328,2022,2
15,4759,2022,2
16,5435,2022,2
17,6599,2022,2
18,5786,2022,2
19,4325,2022,2
20,3037,2022,2
21,2294,2022,2
22,1675,2022,2
23,1185,2022,2
0,1885,2022,3
1,1306,2022,3
2,1003,2022,3
3,649,2022,3
4,483,2022,3
5,885,2022,3
6,2411,2022,3
7,5307,2022,3
8,8603,2022,3
9,6738,2022,3
10,5780,2022,3
11,6762,2022,3
12,8761,2022,3
13,9196,2022,3
14,9656,2022,3
15,10682,2022,3
16,12512,2022,3
17,15700,2022,3
18,13968,2022,3
19,10370,2022,3
20,6879,2022,3
21,5187,2022,3
22,4103,2022,3
23,3010,2022,3
0,3167,2022,4
1,2168,2022,4
2,1797,2022,4
3,979,2022,4
4,695,2022,4
5,1214,2022,4
6,3151,2022,4
7,6940,2022,4
8,12285,2022,4
9,10062,2022,4
10,9313,2022,4
11,11583,2022,4
12,14455,2022,4
13,15805,2022,4
14,16151,2022,4
15,18140,2022,4
16,20989,2022,4
17,24705,2022,4
18,22333,2022,4
19,17880,2022,4
20,11849,2022,4
21,8509,2022,4
22,6600,2022,4
23,5002,2022,4
0,7364,2022,5
1,4854,2022,5
2,3577,2022,5
3,1848,2022,5
4,1201,2022,5
5,1960,2022,5
6,5692,2022,5
7,12308,2022,5
8,22963,2022,5
9,18049,2022,5
10,17074,2022,5
11,21351,2022,5
12,26235,2022,5
13,27994,2022,5
14,30510,2022,5
15,33770,2022,5
16,41662,2022,5
17,52562,2022,5
18,49860,2022,5
19,41288,2022,5
20,31228,2022,5
21,22370,2022,5
22,16688,2022,5
23,12165,2022,5
0,10113,2022,6
1,6375,2022,6
2,4821,2022,6
3,2657,2022,6
4,1531,2022,6
5,2748,2022,6
6,7423,2022,6
7,16061,2022,6
8,29247,2022,6
9,22779,2022,6
10,19834,2022,6
11,24600,2022,6
12,30760,2022,6
13,33296,2022,6
14,34977,2022,6
15,38337,2022,6
16,46099,2022,6
